category,difficulty,system,prompt,completion
negative_edge_case,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Operating systems can be structured in several ways, including the simple/monolithic structure, layered approach, microkernel architecture, and modular approach, each trading off performance against maintainability and reliability.

Question: Does choosing a microkernel architecture over a monolithic kernel always make every individual operation slower?","Not necessarily as an absolute rule. The stated trade-off is that a microkernel's main advantage is improved reliability and security — a failure in a user-mode service doesn't crash the kernel — 'at the cost of extra message-passing overhead between components.' That overhead specifically applies to operations that must cross between the kernel and a user-mode service (e.g. a file system or driver call), not to every operation an OS performs in general. So while microkernel designs do introduce overhead for those specific cross-component interactions, the passage doesn't state that a microkernel makes literally every operation slower than a monolithic kernel — only that this particular class of interaction pays a message-passing cost."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
When a page fault occurs and no free frame is available, the OS must select an existing page to evict from memory using a page-replacement algorithm, such as FIFO, LRU, or Optimal.

Question: What is the difference between local and global page replacement?","In local replacement, a process can only replace pages that belong to itself (from its own allocated frame set) when it faults, ensuring predictable performance per process but limiting its allocation to a fixed number of frames. In global replacement, a process can select a victim frame from any process in the system, which can lead to better overall throughput but means one process's paging behavior can affect the performance of unrelated processes."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
SSTF (Shortest Seek Time First) disk scheduling always services the pending request whose cylinder is closest to the disk head's current position next, minimizing each individual seek.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 32. The pending requests, in the order they arrived, are: 163, 59, 13, 25, 105, 84, 183.

Using the SSTF disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 32 -> 25 -> 13 -> 59 -> 84 -> 105 -> 163 -> 183

Head movement per step: |25-32|=7 + |13-25|=12 + |59-13|=46 + |84-59|=25 + |105-84|=21 + |163-105|=58 + |183-163|=20

Total head movement = 189 cylinders"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In a paged memory system, a logical address is split into a page number and an offset: page number = logical address // page size; offset = logical address % page size. The page table maps each page number to a physical frame number. The physical address is computed as: physical address = (frame number x page size) + offset.

Question: A system uses paging with a page size of 256 bytes. A process has 4 pages, with the following page table: page 0 -> frame 4, page 1 -> frame 3, page 2 -> frame 5, page 3 -> frame 2.

For the logical address 524, determine: (a) the page number, (b) the offset within the page, (c) the corresponding frame number, and (d) the resulting physical address.","(a) Page number = logical address // page size = 524 // 256 = 2
(b) Offset = logical address % page size = 524 % 256 = 12
(c) From the page table, page 2 -> frame 5
(d) Physical address = (frame number x page size) + offset = (5 x 256) + 12 = 1292"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Optimal (MIN/Belady's) page replacement evicts the page that will not be used again for the longest time in the future (or never used again), when a page fault occurs and all frames are full. It gives the theoretical minimum number of page faults but requires advance knowledge of the full reference string.

Question: A system uses 4 page frames and the Optimal page replacement algorithm. Given the page reference string:
3, 2, 5, 3, 5, 0, 2, 4, 2, 2

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
3   | [3]                   | Fault
2   | [3, 2]                | Fault
5   | [3, 2, 5]             | Fault
3   | [3, 2, 5]             | Hit
5   | [3, 2, 5]             | Hit
0   | [3, 2, 5, 0]          | Fault
2   | [3, 2, 5, 0]          | Hit
4   | [2, 5, 0, 4]          | Fault
2   | [2, 5, 0, 4]          | Hit
2   | [2, 5, 0, 4]          | Hit

Total references = 10
Total page faults = 5
Total page hits = 5
Page fault rate = 5/10 = 0.50"
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Race condition: A flaw where the outcome of concurrent execution depends on the unpredictable timing/order of accesses to shared data by multiple processes or threads.

Question: Explain the term Race condition in the context of operating systems.",A flaw where the outcome of concurrent execution depends on the unpredictable timing/order of accesses to shared data by multiple processes or threads.
analytical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
As processes enter the system, they are placed in a job queue. Processes in main memory waiting to run are in the ready queue, and processes waiting for a particular I/O device are placed in a device queue.

Question: Why does the long-term scheduler run far less frequently than the short-term (CPU) scheduler?","The long-term scheduler controls the degree of multiprogramming by deciding which processes are admitted from secondary storage into the ready queue in memory — this is a comparatively rare, coarse-grained decision, since a process typically stays resident in memory for its entire lifetime once admitted, so there's no need to re-run this decision often. The short-term scheduler, by contrast, decides which already-resident, ready process gets the CPU next — a decision that must be made constantly, every time the currently running process is preempted, blocks, or finishes, which happens on the order of milliseconds. Because CPU allocation must be re-decided vastly more often than memory admission, the short-term scheduler necessarily runs far more frequently than the long-term one."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Optimal (MIN/Belady's) page replacement evicts the page that will not be used again for the longest time in the future (or never used again), when a page fault occurs and all frames are full. It gives the theoretical minimum number of page faults but requires advance knowledge of the full reference string.

Question: A system uses 4 page frames and the Optimal page replacement algorithm. Given the page reference string:
5, 2, 4, 4, 0, 4, 5, 1, 4, 4, 1

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
5   | [5]                   | Fault
2   | [5, 2]                | Fault
4   | [5, 2, 4]             | Fault
4   | [5, 2, 4]             | Hit
0   | [5, 2, 4, 0]          | Fault
4   | [5, 2, 4, 0]          | Hit
5   | [5, 2, 4, 0]          | Hit
1   | [2, 4, 0, 1]          | Fault
4   | [2, 4, 0, 1]          | Hit
4   | [2, 4, 0, 1]          | Hit
1   | [2, 4, 0, 1]          | Hit

Total references = 11
Total page faults = 5
Total page hits = 6
Page fault rate = 5/11 = 0.45"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Operating systems can be structured in several ways, including the simple/monolithic structure, layered approach, microkernel architecture, and modular approach, each trading off performance against maintainability and reliability.

Question: What is a microkernel and what is its main advantage?","A microkernel keeps only the most essential functions (basic IPC, minimal process/memory management) in kernel mode, moving services like file systems and device drivers to user-mode servers. Its main advantage is improved reliability and security — a failure in a user-mode service does not crash the kernel — at the cost of extra message-passing overhead between components."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
RCU (Read-Copy-Update): A synchronization technique letting readers access shared data with no locking at all, by having writers publish updates via an atomic pointer swap and deferring reclamation of old versions until a grace period guarantees no reader can still be using them.

Question: Define RCU (Read-Copy-Update).","A synchronization technique letting readers access shared data with no locking at all, by having writers publish updates via an atomic pointer swap and deferring reclamation of old versions until a grace period guarantees no reader can still be using them."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
First-Come, First-Served (FCFS) scheduling allocates the CPU to processes in the order they arrive in the ready queue. It is implemented with a simple FIFO queue and is non-preemptive.

Question: How does FCFS scheduling work?","FCFS scheduling maintains a simple FIFO queue of processes ordered by arrival time. Whichever process arrives first is allocated the CPU first, and it runs to completion (or until it needs I/O) before the next process in the queue is scheduled. It is non-preemptive and easy to implement."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Processes are created dynamically using system calls such as fork() and exec() on Unix-like systems, and cooperating processes exchange data using inter-process communication (IPC) mechanisms such as shared memory and message passing.

Question: What is the difference between fork() and exec() in process creation?","fork() creates a new process (the child) by duplicating the calling (parent) process — the child gets a copy of the parent's memory, and after fork() both continue executing from the same point, distinguished by the return value (0 in the child, the child's PID in the parent). exec() replaces the calling process's own memory image (code, data, stack) with a new program, without creating a new process — commonly, a child calls fork() then immediately calls exec() to run a completely different program in place of its copy of the parent."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Virtual memory is a technique that allows the execution of processes that are not completely in main memory, giving each process the illusion of a large, contiguous address space backed by disk.

Question: What is demand paging?","Demand paging is a virtual memory technique where a page is only loaded into physical memory when it is actually referenced (demanded) by the running process, rather than loading the entire process at start. This reduces memory usage and speeds up process start-up, since unused pages (e.g. rarely-executed error-handling code) are never loaded."
comparative,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Disk scheduling algorithms decide the order in which pending I/O requests (each targeting a specific cylinder) are serviced, aiming to minimize total head movement and/or provide fairness.

Shortest Job First (SJF) scheduling selects the ready process with the smallest next CPU burst time. It can be implemented as non-preemptive (classic SJF) or preemptive (Shortest Remaining Time First, SRTF).

Question: How is SSTF disk scheduling analogous to SJF CPU scheduling, and how are their respective drawbacks similar?","SSTF disk scheduling is explicitly described as being 'similar to SJF for CPU scheduling': just as SJF always selects the ready process with the smallest CPU burst time next, SSTF always services the pending disk request whose cylinder is closest to the current head position next — both algorithms greedily pick whatever looks 'cheapest' to service right now, based on a size/distance measure, rather than respecting arrival order. Their drawbacks are similarly shaped, too: SJF's short jobs can indefinitely delay a long-burst process if shorter jobs keep arriving (addressed via aging), and SSTF 'can cause starvation of requests far from the current head position if a steady stream of requests keeps arriving near the head's current location' — in both cases, the greedy 'shortest/closest first' strategy can starve whichever item is unlucky enough to look expensive relative to a constant stream of cheaper alternatives."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Booting a computer and handling defective disk sectors are low-level responsibilities closely tied to disk and mass storage management.

Question: What is the boot block, and how does the system boot?","The boot block is a small, fixed location on a bootable disk (typically the first sector) containing a bootstrap loader program. When the computer is powered on, the ROM-resident bootstrap code loads and executes this bootstrap loader, which in turn locates and loads the full operating system kernel into memory and transfers control to it."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Aging: A technique that gradually increases the priority of a process the longer it waits in the ready queue, to prevent starvation.

Question: Define Aging.","A technique that gradually increases the priority of a process the longer it waits in the ready queue, to prevent starvation."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Disk scheduling algorithms decide the order in which pending I/O requests (each targeting a specific cylinder) are serviced, aiming to minimize total head movement and/or provide fairness.

Question: Compare FCFS and SSTF disk scheduling algorithms.","FCFS services disk requests strictly in arrival order regardless of their cylinder location, which is fair and starvation-free but can cause a lot of unnecessary head movement (poor throughput). SSTF always services the closest pending request to the current head position, minimizing head movement in the short term and improving throughput, but it can starve requests that are far from the head if closer requests keep arriving."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Once a deadlock is detected, an operating system can recover from it either by terminating one or more deadlocked processes or by preempting resources from them.

Question: What is starvation in the context of resource preemption during deadlock recovery, and how is it typically avoided?","If the same process is repeatedly chosen as the 'victim' for resource preemption, it may never complete — this is starvation. It is typically avoided by including the number of times a process has been picked as a victim as a factor in the selection cost, ensuring no process is picked an unlimited number of times."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
FIFO page replacement evicts the page that has been resident in memory the longest, regardless of how recently or often it has been used, when a page fault occurs and all frames are full.

Question: A system uses 4 page frames and the FIFO page replacement algorithm. Given the page reference string:
4, 1, 3, 0, 1, 3, 2, 0, 3, 0, 3, 4, 2

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
4   | [4]                   | Fault
1   | [4, 1]                | Fault
3   | [4, 1, 3]             | Fault
0   | [4, 1, 3, 0]          | Fault
1   | [4, 1, 3, 0]          | Hit
3   | [4, 1, 3, 0]          | Hit
2   | [1, 3, 0, 2]          | Fault
0   | [1, 3, 0, 2]          | Hit
3   | [1, 3, 0, 2]          | Hit
0   | [1, 3, 0, 2]          | Hit
3   | [1, 3, 0, 2]          | Hit
4   | [3, 0, 2, 4]          | Fault
2   | [3, 0, 2, 4]          | Hit

Total references = 13
Total page faults = 6
Total page hits = 7
Page fault rate = 6/13 = 0.46"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
LRU (Least Recently Used) page replacement evicts the page that has not been referenced for the longest time, when a page fault occurs and all frames are full — it uses the recent past as an approximation of the near future.

Question: A system uses 4 page frames and the LRU page replacement algorithm. Given the page reference string:
3, 3, 5, 0, 2, 3, 2, 5, 2, 2, 1, 5, 3

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
3   | [3]                   | Fault
3   | [3]                   | Hit
5   | [3, 5]                | Fault
0   | [3, 5, 0]             | Fault
2   | [3, 5, 0, 2]          | Fault
3   | [5, 0, 2, 3]          | Hit
2   | [5, 0, 3, 2]          | Hit
5   | [0, 3, 2, 5]          | Hit
2   | [0, 3, 5, 2]          | Hit
2   | [0, 3, 5, 2]          | Hit
1   | [3, 5, 2, 1]          | Fault
5   | [3, 2, 1, 5]          | Hit
3   | [2, 1, 5, 3]          | Hit

Total references = 13
Total page faults = 5
Total page hits = 8
Page fault rate = 5/13 = 0.38"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
First-Come, First-Served (FCFS) CPU scheduling allocates the CPU to processes strictly in order of arrival time, using a FIFO ready queue. It is non-preemptive: once a process starts running, it runs to completion. Ties in arrival time are broken by process ID order. Completion Time (CT) is when a process finishes; Turnaround Time (TAT) = CT − Arrival Time; Waiting Time (WT) = TAT − Burst Time.

Question: Consider the following processes with their arrival and burst times (all times in milliseconds):

Process | Arrival Time | Burst Time
-----------------------------------
P1      | 4            | 8
P2      | 8            | 10
P3      | 7            | 5
P4      | 6            | 9

Using First-Come, First-Served (FCFS) scheduling, draw the Gantt chart and compute the Completion Time, Turnaround Time, and Waiting Time for each process. Also compute the average waiting time and average turnaround time.","Gantt Chart:
Idle[0-4] -> P1[4-12] -> P4[12-21] -> P3[21-26] -> P2[26-36]

Process | CT | TAT (=CT-AT) | WT (=TAT-BT)
P1      | 12  | 8            | 0
P2      | 36  | 28            | 18
P3      | 26  | 19            | 14
P4      | 21  | 15            | 6

Average Turnaround Time = (8 + 28 + 19 + 15) / 4 = 17.50 ms
Average Waiting Time = (0 + 18 + 14 + 6) / 4 = 9.50 ms"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In contiguous memory allocation, free memory is organized as a list of holes (blocks). First-fit allocates a process into the first hole large enough to hold it (scanning from the start). Best-fit allocates into the smallest hole that is still large enough. Worst-fit allocates into the largest available hole. After allocation, the unused remainder of the chosen hole remains as a smaller free hole.

Question: Free memory consists of the following holes, in this order: B0=126KB, B1=292KB, B2=54KB, B3=140KB. The following processes arrive in this order and must each be placed into a single contiguous free hole: P0=285KB, P1=98KB, P2=294KB, P3=191KB.

Using the first-fit allocation strategy, determine which memory block (if any) each process is placed into, and the sizes of the remaining free blocks after all allocations.","P0 (285KB): placed in B1 (was 292KB) -> B1 now has 7KB free
P1 (98KB): placed in B0 (was 126KB) -> B0 now has 28KB free
P2 (294KB): no free block is large enough -> CANNOT be allocated
P3 (191KB): no free block is large enough -> CANNOT be allocated

Final remaining free block sizes: B0=28KB, B1=7KB, B2=54KB, B3=140KB"
